m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2020	LMEL	2	60009	27	85	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	86	1			2	0.09																																																																						
4	2020	LMEL	2	60009	27	87	1			2	0.09																																																																						
4	2020	LMEL	2	60009	27	88	1			2	0.095																																																																						
4	2020	LMEL	2	60009	27	89	1			2	0.095																																																																						
4	2020	LMEL	2	60009	27	90	1			2	0.115																																																																						
4	2020	LMEL	2	60009	27	91	1			2	0.105																																																																						
4	2020	LMEL	2	60009	27	92	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	93	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	94	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	95	1			2	0.095																																																																						
4	2020	LMEL	2	60009	27	96	1			2	0.09																																																																						
4	2020	LMEL	2	60009	27	97	1			2	0.1																																																																						
4	2020	LMEL	2	60009	27	98	1			2	0.095																																																																						
4	2020	LMEL	2	60009	27	99	1			2	0.085																																																																						
4	2020	LMEL	2	60009	27	100	1			2	0.085																																																																						
4	2020	LMEL	2	60010	1	1	1			2	0.455																																																																						
4	2020	LMEL	2	60010	1	2	1			2	0.395																																																																						
4	2020	LMEL	2	60010	1	3	1			2	0.345																																																																						
4	2020	LMEL	2	60010	1	4	1			2	0.41																																																																						
4	2020	LMEL	2	60010	1	5	1			2	0.185																																																																						
4	2020	LMEL	2	60010	1	6	1			2	0.185																																																																						
4	2020	LMEL	2	60010	2	1	1			2	0.415																																																																						
4	2020	LMEL	2	60010	3	1	1			2	0.175																																																																						
4	2020	LMEL	2	60010	3	2	1			2	0.15																																																																						
4	2020	LMEL	2	60010	3	3	1			2	0.21																																																																						
4	2020	LMEL	2	60010	3	4	1			2	0.195																																																																						
4	2020	LMEL	2	60010	3	5	1			2	0.205																																																																						
4	2020	LMEL	2	60010	3	6	1			2	0.17																																																																						
4	2020	LMEL	2	60010	3	7	1			2	0.205																																																																						
4	2020	LMEL	2	60010	4	1	1			2	0.1																																																																						
4	2020	LMEL	2	60010	5	1	1			2	0.205																																																																						
4	2020	LMEL	2	60010	6	1	1			3	0.53																																																																						
4	2020	LMEL	2	60010	6	2	1			2	0.33																																																																						
4	2020	LMEL	2	60010	6	3	1			3	0.53																																																																						
4	2020	LMEL	2	60010	6	4	1			2	0.125																																																																						
4	2020	LMEL	2	60010	16	1	1	0.093		2	0.235			1						2														5			1																		1																									Spesialstadium 8	0.6942119842542646
4	2020	LMEL	2	60010	8	1	1	0.394		2	0.36			1	2	2																																																																	0.8271269834761573
